Milliseconds,Signal
1,527
2,623
3,704
4,767
5,818
6,858
7,890
8,722
9,579
10,464
11,369
12,295
13,235
14,349
15,482
16,588
17,673
18,742
19,797
20,720
21,574
22,458
23,364
24,290
25,230
26,261
27,411
28,530
29,627
30,705
31,766
32,784
33,624
34,497
35,396
36,315
37,250
38,199
39,351
40,482
41,587
42,672
43,741
44,796
45,685
46,546
47,434
48,346
49,275
50,219
51,286
52,431
53,546
54,639
55,714
56,774
57,752
58,598
59,478
60,380
61,302
62,240
63,212
64,374
65,501
66,603
67,685
68,751
69,803
70,659
71,525
72,418
73,332
74,264
75,210
76,313
77,452
78,563
79,653
80,725
